HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.vid_url,Answer.answer,Approve,Reject
3E9VAUV7BWR4K7CEJ4RD4RUT70DYA2,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:02 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:02 PDT 2017,,,33FBRBDW6PCGL0GOGGUCZTR1P5FC8C,A2VVA21VWJ11ZW,Submitted,Mon Aug 21 20:01:15 PDT 2017,Mon Aug 21 20:02:08 PDT 2017,Mon Aug 28 20:02:08 PDT 2017,,,,53,100% (50/50),100% (50/50),100% (50/50),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/D6zILEKIJbk_013.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":11.35,""start_time"":8.53},{""cam_view"":""side"",""slow_motion"":true,""stop_time"":25.15,""start_time"":19.54},{""cam_view"":""front"",""slow_motion"":true,""stop_time"":33.64,""start_time"":28.7}]}]",x,
3E9VAUV7BWR4K7CEJ4RD4RUT70DYA2,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:02 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:02 PDT 2017,,,382M9COHEISTGV7FFA1CL99T77HEUI,A2GEEAIW2BIMEH,Submitted,Mon Aug 21 18:23:39 PDT 2017,Mon Aug 21 18:30:12 PDT 2017,Mon Aug 28 18:30:12 PDT 2017,,,,393,0% (0/0),0% (0/0),0% (0/0),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/D6zILEKIJbk_013.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":11.51,""start_time"":9.25},{""cam_view"":""side"",""slow_motion"":false,""stop_time"":26.9,""start_time"":20.55},{""cam_view"":""side"",""slow_motion"":false,""stop_time"":34.78,""start_time"":28.88}]}]",x,
3E9VAUV7BWR4K7CEJ4RD4RUT70DYA2,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:02 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:02 PDT 2017,,,3AMYWKA6YCZUQBU3D665AFPR8N06O7,A1GQ7RCLMXLYV0,Submitted,Mon Aug 21 16:46:46 PDT 2017,Mon Aug 21 16:49:01 PDT 2017,Mon Aug 28 16:49:01 PDT 2017,,,,135,100% (16/16),100% (16/16),100% (16/16),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/D6zILEKIJbk_013.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":11.03,""start_time"":6.84},{""cam_view"":""side"",""slow_motion"":true,""stop_time"":25.63,""start_time"":19.23},{""cam_view"":""front"",""slow_motion"":true,""stop_time"":33.7,""start_time"":27.94}]}]",x,
3E9VAUV7BWR4K7CEJ4RD4RUT70DYA2,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:02 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:02 PDT 2017,,,3M23Y66PO3K9O3MWKNNEUKZS5CW6SX,A1A8MV3CZHDADG,Submitted,Mon Aug 21 15:32:47 PDT 2017,Mon Aug 21 15:34:26 PDT 2017,Mon Aug 28 15:34:26 PDT 2017,,,,99,0% (0/0),0% (0/0),0% (0/0),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/D6zILEKIJbk_013.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":10.42,""start_time"":6.84},{""cam_view"":""side"",""slow_motion"":true,""stop_time"":25.32,""start_time"":18.98},{""cam_view"":""front"",""slow_motion"":true,""stop_time"":33.67,""start_time"":27.7}]}]",x,
3E9VAUV7BWR4K7CEJ4RD4RUT70DYA2,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:02 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:02 PDT 2017,,,3UOUJI6MTER2MVYWAFR49YU0NEVXUF,A1YGSIQI52QT9L,Submitted,Mon Aug 21 20:41:14 PDT 2017,Mon Aug 21 20:42:09 PDT 2017,Mon Aug 28 20:42:09 PDT 2017,,,,55,100% (48/48),100% (48/48),100% (48/48),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/D6zILEKIJbk_013.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""front"",""slow_motion"":false,""stop_time"":10.61,""start_time"":1.98},{""cam_view"":""side"",""slow_motion"":true,""stop_time"":25.66,""start_time"":19.3},{""cam_view"":""front"",""slow_motion"":true,""stop_time"":33.85,""start_time"":27.68}]}]",x,
3EGKVCRQFW593HH6PIR9Z2EZPIYYBX,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:02 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:02 PDT 2017,,,31N2WW6R9S31NFUSV1PHGI4T6VB3FG,A1GQ7RCLMXLYV0,Submitted,Mon Aug 21 17:45:46 PDT 2017,Mon Aug 21 17:47:24 PDT 2017,Mon Aug 28 17:47:24 PDT 2017,,,,98,100% (16/16),100% (16/16),100% (16/16),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/RWNrARSbRCY_007.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":28.31,""start_time"":25.18},{""cam_view"":""front"",""slow_motion"":true,""stop_time"":45.21,""start_time"":39.67},{""cam_view"":""side"",""slow_motion"":true,""stop_time"":50.2,""start_time"":46.14}]}]",x,
3EGKVCRQFW593HH6PIR9Z2EZPIYYBX,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:02 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:02 PDT 2017,,,33NF62TLXKFNOFOVZX81C2DNAOFJKB,A2H9COVN7HMNLL,Submitted,Mon Aug 21 18:16:32 PDT 2017,Mon Aug 21 18:18:45 PDT 2017,Mon Aug 28 18:18:45 PDT 2017,,,,133,100% (1/1),100% (1/1),100% (1/1),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/RWNrARSbRCY_007.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""back"",""slow_motion"":false,""stop_time"":30.64,""start_time"":25.53},{""cam_view"":""back"",""slow_motion"":false,""stop_time"":30.27,""start_time"":25.21},{""cam_view"":""back"",""slow_motion"":false,""stop_time"":29.97,""start_time"":25.66}]}]",x,
3EGKVCRQFW593HH6PIR9Z2EZPIYYBX,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:02 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:02 PDT 2017,,,3KKG4CDWKJBD41MJSTU8GRAOHWE49A,A1A8MV3CZHDADG,Submitted,Mon Aug 21 14:05:53 PDT 2017,Mon Aug 21 14:08:47 PDT 2017,Mon Aug 28 14:08:47 PDT 2017,,,,174,0% (0/0),0% (0/0),0% (0/0),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/RWNrARSbRCY_007.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":27.53,""start_time"":25.1},{""cam_view"":""back"",""slow_motion"":true,""stop_time"":44.81,""start_time"":39.93},{""cam_view"":""side"",""slow_motion"":true,""stop_time"":50.18,""start_time"":46.25}]}]",x,
3EGKVCRQFW593HH6PIR9Z2EZPIYYBX,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:02 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:02 PDT 2017,,,3QUO65DNQV1FSMK49O48QL37B9PUO4,A2KQHXV49W75I4,Submitted,Mon Aug 21 19:09:50 PDT 2017,Mon Aug 21 19:12:47 PDT 2017,Mon Aug 28 19:12:47 PDT 2017,,,,177,0% (0/0),0% (0/0),0% (0/0),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/RWNrARSbRCY_007.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":28.32,""start_time"":22.22},{""cam_view"":""front"",""slow_motion"":true,""stop_time"":45.13,""start_time"":40.08},{""cam_view"":""front"",""slow_motion"":true,""stop_time"":50.47,""start_time"":46.12}]}]",x,
3EGKVCRQFW593HH6PIR9Z2EZPIYYBX,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:02 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:02 PDT 2017,,,3ZWFC4W1UVKT6HFU6RQDYG79CAVFR2,ARMFGI3LBQ0KT,Submitted,Mon Aug 21 19:24:49 PDT 2017,Mon Aug 21 19:25:36 PDT 2017,Mon Aug 28 19:25:36 PDT 2017,,,,47,0% (0/0),0% (0/0),0% (0/0),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/RWNrARSbRCY_007.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":27.15,""start_time"":25.05},{""cam_view"":""side"",""slow_motion"":false,""stop_time"":0,""start_time"":0},{""cam_view"":""side"",""slow_motion"":false,""stop_time"":0,""start_time"":0}]}]",x,
